NAMESPACE                NAME                                                     READY   STATUS                       RESTARTS           AGE
hermes-observability     hermes-monitoring-kube-state-metrics-656d9bb8df-4gg87    1/1     Running                      0                  4d1h
hermes-observability     hermes-monitoring-prometheus-node-exporter-6s5cp         1/1     Running                      0                  4d1h
hermes-observability     hermes-monitoring-prometheus-node-exporter-svqhd         1/1     Running                      0                  4d1h
hermes-observability     hermes-monitoring-prometheus-node-exporter-wh6lz         1/1     Running                      0                  4d1h
hermes-observability     prometheus-hermes-monitoring-kube-pro-prometheus-0       2/2     Running                      0                  4d
hermes-prod              hermes-api-56d9859d78-vvqf2                              1/1     Running                      0                  5d19h
ingress-nginx            ingress-nginx-controller-7rzd7                           0/1     Pending                      0                  47h
ingress-nginx            ingress-nginx-controller-q2j5z                           1/1     Running                      0                  47h
ingress-nginx            ingress-nginx-controller-tr7dn                           1/1     Running                      0                  47h
iterlaw-ai               lawapp-backend-5df7848d8c-v78jm                          1/1     Running                      0                  24h
iterlaw-ai               lawapp-postgres-6c97965775-jp8qv                         1/1     Running                      0                  47h
jzi-prod                 jzi-placeholder-7fb5468cf8-mmlnp                         1/1     Running                      0                  2d15h
kite-system              kite-dashboard-568fc88576-57r4g                          1/1     Running                      0                  4d11h
kube-system              coredns-6d659fc587-4zwjg                                 1/1     Running                      0                  6d10h
kube-system              coredns-6d659fc587-65k8m                                 1/1     Running                      0                  6d10h
kube-system              kube-apiserver-talos-138-201-202-174                     1/1     Running                      0                  9d
kube-system              kube-apiserver-talos-5h3-83r                             1/1     Running                      0                  9d
kube-system              kube-apiserver-talos-h93-b9x                             1/1     Running                      0                  9d
kube-system              kube-controller-manager-talos-138-201-202-174            1/1     Running                      0                  9d
kube-system              kube-controller-manager-talos-5h3-83r                    1/1     Running                      0                  9d
kube-system              kube-controller-manager-talos-h93-b9x                    1/1     Running                      2 (9d ago)         9d
kube-system              kube-flannel-jjrp2                                       1/1     Running                      0                  9d
kube-system              kube-flannel-vb6kb                                       1/1     Running                      0                  9d
kube-system              kube-flannel-vr5fn                                       1/1     Running                      0                  9d
kube-system              kube-proxy-4m6zq                                         1/1     Running                      0                  9d
kube-system              kube-proxy-fssd2                                         1/1     Running                      0                  9d
kube-system              kube-proxy-qfj4t                                         1/1     Running                      0                  9d
kube-system              kube-scheduler-talos-138-201-202-174                     1/1     Running                      0                  9d
kube-system              kube-scheduler-talos-5h3-83r                             1/1     Running                      0                  9d
kube-system              kube-scheduler-talos-h93-b9x                             1/1     Running                      2 (9d ago)         9d
lawapp-ai                lawapp-brain-56d95c7c9d-ll487                            0/1     CrashLoopBackOff             22 (4m50s ago)     98m
lawapp-ai                lawapp-brain-6dc68ccb98-dxkfx                            0/1     CrashLoopBackOff             16 (4m58s ago)     60m
lawapp-api               lawapp-backend-7757c5df85-2l8kn                          1/1     Running                      0                  7h51m
lawapp-api               lawapp-backend-b679fc695-4vlr2                           0/1     CrashLoopBackOff             13 (31s ago)       43m
lawapp-api               lawapp-postgres-0                                        1/1     Running                      0                  98m
lawapp-api               test-db-connectivity                                     1/1     Running                      0                  28h
lawapp-monitoring        lawapp-legal-accuracy-check-29675520-s8ft6               0/1     Completed                    0                  5h8m
lawapp-rag               lawapp-postgres-0                                        1/1     Running                      0                  29h
local-path-storage       local-path-provisioner-596f9747-bxh82                    1/1     Running                      0                  3d1h
ns-agent-admin-bot       admin-bot-6cbbf5d95c-c27hq                               1/1     Running                      0                  4d1h
ns-agent-ayosh           ayosh-agent-api-5b7ccb4fb8-2qdqq                         1/1     Running                      0                  3d4h
ns-agent-ayosh           ayosh-animal-api-connector-688b9fc9cc-5w8hd              1/1     Running                      0                  3d4h
ns-agent-ayosh           ayosh-ask-rag-api-5b4788d4dc-42xvs                       1/1     Running                      0                  3d9h
ns-agent-ayosh           ayosh-cloudflared-7dcd8d996b-s6snm                       1/1     Running                      0                  3d5h
ns-agent-ayosh           ayosh-dashboard-7c498b7978-nx2bk                         1/1     Running                      0                  3d3h
ns-agent-ayosh           ayosh-fast-rules-74d87988dc-b47lt                        1/1     Running                      0                  3d4h
ns-agent-ayosh           ayosh-minio-6d7f7bcbf6-xw6qz                             1/1     Running                      0                  4d
ns-agent-ayosh           ayosh-pinggy-tunnel-5885c8c89d-k2qbr                     1/1     Running                      80 (37m ago)       3d7h
ns-agent-ayosh           ayosh-postgres-c45c47c95-qjfsv                           1/1     Running                      0                  4d
ns-agent-ayosh           ayosh-professor-chat-api-587494b6fb-w95k6                0/1     CrashLoopBackOff             875 (2m59s ago)    3d2h
ns-agent-ayosh           ayosh-professor-chat-api-865c78bf49-xbkhw                1/1     Running                      0                  3d5h
ns-agent-ayosh           ayosh-professor-chat-runtime-v2-6b8bc55677-b8w5h         1/1     Running                      0                  3d2h
ns-agent-ayosh           ayosh-qdrant-6b68c9799-jgz8r                             1/1     Running                      0                  4d
ns-agent-ayosh           ayosh-quick-tunnel-76bf98dbf7-95qj8                      1/1     Running                      0                  3d8h
ns-agent-ayosh           ayosh-rag-service-7cf8f5b457-swlvt                       1/1     Running                      0                  3d3h
ns-agent-ayosh           ayosh-rag-service-85d5f78d84-59b96                       0/1     Running                      1083 (36s ago)     3d3h
ns-agent-ayosh           ayosh-redis-6f9b78bf94-fsxk7                             1/1     Running                      0                  4d
ns-agent-ayosh           ayosh-web-7858b5d7f8-z6p94                               1/1     Running                      0                  4d1h
ns-agent-ayosh           ayosh-wife-gateway-9fff6d56c-ssjzv                       1/1     Running                      0                  3d5h
ns-agent-ayosh           ayosh-wife-gateway-ccb7c7f76-t64hp                       0/1     CrashLoopBackOff             1070 (2m31s ago)   3d2h
ns-agent-forensics-bot   forensics-bot-7fdff7f6ff-fnck2                           1/1     Running                      0                  4d1h
ns-agent-jordan-bot      jordan-bot-649df6db6b-b8zbk                              0/1     CrashLoopBackOff             1220 (2m33s ago)   4d11h
ns-agent-manager         hermes-control-admin-dashboard-5b9d84ff84-rvkh2          1/1     Running                      0                  4d11h
ns-agent-manager         hermes-live-admin-dashboard-855d4bd847-62x8t             1/1     Running                      0                  4d11h
ns-agent-manager         hermes-native-admin-dashboard-669b87798b-ptdj5           1/1     Running                      0                  4d11h
ns-agent-manager         manager-bot-c56f74cbb-czrmq                              1/1     Running                      0                  4d1h
ns-agent-palestine-bot   palestine-bot-76964bbb4b-z7jrn                           1/1     Running                      0                  4d11h
ns-agent-palestine       palestine-5968458c5b-kf4d8                               0/1     CrashLoopBackOff             1229 (2m ago)      4d11h
ns-agent-research-bot    research-bot-84bc76c6d-l2cs9                             1/1     Running                      0                  4d1h
ns-agent-test-bot        test-bot-745566dff5-4j8cc                                1/1     Running                      0                  4d14h
ns-app-hermes            hermes-agent-56c994875-ssqtf                             1/1     Running                      0                  4d21h
observability            openlit-0                                                1/1     Running                      0                  4d21h
observability            openlit-db-0                                             1/1     Running                      0                  4d21h
openclaw-ai              openclaw-5bccf7d4b6-zlpb4                                1/1     Running                      1816 (28h ago)     9d
openclaw                 openclaw-terminal-887c77bcb-4dmdf                        1/1     Running                      0                  7d23h
opencode                 opencode-terminal-d457c4cbf-qmfvw                        1/1     Running                      0                  8d
ordinox-agent-runtime    ordinox-nats-0                                           0/2     CreateContainerConfigError   0                  2d14h
ordinox-agent-runtime    ordinox-redis-58b8944cc8-pkr8p                           1/1     Running                      0                  2d14h
ordinox-edge             ordinox-edge-nginx-controller-9brl2                      1/1     Running                      0                  2d15h
ordinox-logging          ordinox-loki-0                                           2/2     Running                      0                  4d22h
ordinox-logging          ordinox-loki-gateway-8547b5d57c-8qvxk                    1/1     Running                      0                  4d22h
ordinox-monitoring       alertmanager-ordinox-monitoring-kube-pr-alertmanager-0   2/2     Running                      0                  4d22h
ordinox-monitoring       ordinox-monitoring-grafana-65d8bdb685-tqdxv              3/3     Running                      0                  4d22h
ordinox-monitoring       ordinox-monitoring-kube-pr-operator-5bbdc55c97-xxrnc     1/1     Running                      0                  4d22h
ordinox-monitoring       ordinox-monitoring-kube-state-metrics-54b7f487c5-dctdv   1/1     Running                      0                  4d22h
ordinox-monitoring       prometheus-ordinox-monitoring-kube-pr-prometheus-0       1/2     CrashLoopBackOff             1386 (2m43s ago)   4d22h
ordinox-terminal         terminal-workspace-857586c66-dmfxt                       1/1     Running                      0                  28h
ordinoxai-factory-dev    ordinoxai-aia-orchestrator-84ff5cd796-kz7hl              1/1     Running                      0                  39h
ordinoxai-factory-dev    ordinoxai-channel-gateway-7b4ccb7875-46gb5               1/1     Running                      0                  46h
ordinoxai-factory-dev    ordinoxai-factory-api-68c5678f7d-rn5rf                   1/1     Running                      0                  37h
ordinoxai-factory-dev    ordinoxai-factory-minio-7dbd7c64cc-h5cxn                 1/1     Running                      0                  47h
ordinoxai-factory-dev    ordinoxai-factory-nats-85f5bbbcd7-5bqsr                  1/1     Running                      0                  47h
ordinoxai-factory-dev    ordinoxai-factory-postgres-0                             1/1     Running                      0                  47h
ordinoxai-factory-dev    ordinoxai-factory-qdrant-0                               1/1     Running                      0                  2d10h
ordinoxai-factory-dev    ordinoxai-factory-redis-744f9c5f8b-h7kpj                 1/1     Running                      0                  2d10h
ordinoxai-factory-dev    ordinoxai-factory-web-56c98b5694-4vp6g                   1/1     Running                      0                  46h
ordinoxai-factory-dev    ordinoxai-model-router-7c5d75c669-kgfll                  1/1     Running                      0                  38h
ordinoxai-factory        agent-orchestrator-74f848479c-pp6b5                      1/1     Running                      0                  2d15h
ordinoxai-factory        agent-runtime-6ffc6d8f75-zskzx                           1/1     Running                      0                  2d15h
ordinoxai-factory        agent-template-registry-7bff98cd6f-2nbpz                 1/1     Running                      0                  2d15h
ordinoxai-factory        evaluation-service-684b5cbdf7-cv92s                      1/1     Running                      0                  2d15h
ordinoxai-factory        ordinox-factory-api-5467848758-6zccg                     1/1     Running                      0                  2d15h
ordinoxai-factory        rag-service-85f9cf9b9c-ck92n                             1/1     Running                      0                  2d15h
ordinoxai-factory        tool-connector-service-67d467b5d9-66wl9                  1/1     Running                      0                  2d15h
ordinoxai-prod           ordinoxai-motion-landing-cd559597-5z4ht                  1/1     Running                      0                  8d
ordinoxai-prod           ordinoxai-motion-landing-cd559597-rd22s                  1/1     Running                      0                  8d
ordinoxai-prod           ordinoxai-web-859f4cbbcc-5nfwq                           1/1     Running                      0                  9d
ordinoxai-prod           ordinoxai-web-859f4cbbcc-7jlxb                           1/1     Running                      0                  9d
sakina-api               sakina-api-55fbb848c7-clcx2                              0/1     ImagePullBackOff             0                  84m
sakina-api               sakina-api-55fbb848c7-grc7k                              0/1     ImagePullBackOff             0                  84m
sakina-api               sakina-api-55fbb848c7-k75f9                              0/1     ImagePullBackOff             0                  84m
sakina-data              postgres-0                                               0/1     Pending                      0                  84m
sakina-data              qdrant-0                                                 0/1     Pending                      0                  84m
sakina-mobile-staging    sakina-admin-7dc6cd7fb4-vxffz                            1/1     Running                      0                  47h
sakina-mobile-staging    sakina-admin-smoke-4qfzh                                 0/1     Completed                    0                  47h
sakina-mobile-staging    sakina-backend-865cbb6875-lq7wv                          1/1     Running                      0                  47h
sakina-mobile-staging    sakina-backend-smoke-kxkn6                               0/1     Completed                    0                  47h
sakina-mobile-staging    sakina-db-migrate-xz67b                                  0/1     Completed                    0                  47h
sakina-mobile-staging    sakina-db-verify-jrnk9                                   0/1     Completed                    0                  47h
sakina-mobile-staging    sakina-live-smoke-nhcff                                  0/1     Completed                    0                  47h
sakina-mobile-staging    sakina-postgres-0                                        1/1     Running                      0                  47h
sakina-mobile-staging    sakina-rag-ingestion-67fb88b879-qt88c                    1/1     Running                      0                  47h
sakina-mobile-staging    sakina-rag-retrieval-75685d87b5-6dnnp                    1/1     Running                      0                  47h
sakina-mobile-staging    sakina-rag-smoke-847cv                                   0/1     Completed                    0                  47h
sakina-monitoring        grafana-c67cdd5bf-r57jz                                  1/1     Running                      0                  113m
sakina-monitoring        jaeger-7966674596-pvmmt                                  1/1     Running                      0                  113m
sakina-monitoring        prometheus-59cfd5fc86-828dr                              1/1     Running                      0                  113m
sakina-prod              sakina-backend-5d9f96d99c-knbs9                          1/1     Running                      0                  3d7h
sakina-prod              sakina-backend-6b89db7679-qx8r7                          0/1     CreateContainerConfigError   0                  113m
sakina-prod              sakina-frontend-566764cf46-hwvvx                         0/1     CrashLoopBackOff             21 (109s ago)      84m
sakina-prod              sakina-frontend-566764cf46-kc7rk                         0/1     CrashLoopBackOff             21 (102s ago)      83m
sakina-prod              sakina-landing-7d7f6474c4-4fp2r                          1/1     Running                      0                  6d14h
sakina-prod              sakina-landing-7d7f6474c4-rr6sq                          1/1     Running                      0                  6d14h
sakina-prod              sakinaai-supabase-db-backup-29665560-kkjg9               0/1     CreateContainerConfigError   0                  2d14h
sakina                   sakina-waitlist-54b6d5bbf7-fbbh9                         1/1     Running                      0                  2d15h
supabase                 supabase-supabase-analytics-c6b9fdd49-mdfx5              1/1     Running                      0                  9d
supabase                 supabase-supabase-auth-678d5b45bb-p5z79                  1/1     Running                      0                  9d
supabase                 supabase-supabase-db-0                                   1/1     Running                      0                  9d
supabase                 supabase-supabase-functions-54fbbb5fc7-vxv5f             1/1     Running                      0                  9d
supabase                 supabase-supabase-imgproxy-66d6fdd847-5zbg9              1/1     Running                      0                  9d
supabase                 supabase-supabase-kong-5c9769574c-wdd2g                  1/1     Running                      0                  9d
supabase                 supabase-supabase-meta-7978bd4799-wvvzv                  1/1     Running                      0                  9d
supabase                 supabase-supabase-realtime-6b65b77ddf-5s8dn              1/1     Running                      0                  9d
supabase                 supabase-supabase-rest-67857b65f7-xsn2g                  1/1     Running                      0                  9d
supabase                 supabase-supabase-storage-75b8c6b657-fw5tk               1/1     Running                      0                  9d
supabase                 supabase-supabase-studio-5cf64fc594-tc8zp                1/1     Running                      0                  9d
